question_id,video,title,link,total Accepted,total Submitted,difficulty,isPaid
1959,,Minimum Path Cost in a Hidden Grid,https://leetcode.com/problems/minimum-path-cost-in-a-hidden-grid,262,434,2,True
1949,,Implement Trie II (Prefix Tree),https://leetcode.com/problems/implement-trie-ii-prefix-tree,691,1126,2,True
1947,,Number of Different Subsequences GCDs,https://leetcode.com/problems/number-of-different-subsequences-gcds,1976,7740,3,False
1946,,Minimum Absolute Sum Difference,https://leetcode.com/problems/minimum-absolute-sum-difference,5411,13595,2,False
1945,,Finding the Users Active Minutes,https://leetcode.com/problems/finding-the-users-active-minutes,5890,7460,2,False
1944,,Truncate Sentence,https://leetcode.com/problems/truncate-sentence,7056,8979,1,False
1943,,Count Pairs of Equal Substrings With Minimum Difference,https://leetcode.com/problems/count-pairs-of-equal-substrings-with-minimum-difference,584,850,2,True
1937,,Maximize the Beauty of the Garden,https://leetcode.com/problems/maximize-the-beauty-of-the-garden,571,819,3,True
1936,,Maximize Number of Nice Divisors,https://leetcode.com/problems/maximize-number-of-nice-divisors,2958,10959,3,False
1935,,Minimum Number of Operations to Reinitialize a Permutation,https://leetcode.com/problems/minimum-number-of-operations-to-reinitialize-a-permutation,7134,10125,2,False
1934,,Evaluate the Bracket Pairs of a String,https://leetcode.com/problems/evaluate-the-bracket-pairs-of-a-string,7908,11726,2,False
1933,,Number of Different Integers in a String,https://leetcode.com/problems/number-of-different-integers-in-a-string,13896,27241,1,False
1931,,Shortest Path in a Hidden Grid,https://leetcode.com/problems/shortest-path-in-a-hidden-grid,757,1650,2,True
1930,,Maximum Number of Consecutive Values You Can Make,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make,4488,10294,2,False
1929,,Maximum Value at a Given Index in a Bounded Array,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array,5062,18327,2,False
1928,,Number of Orders in the Backlog,https://leetcode.com/problems/number-of-orders-in-the-backlog,5510,12661,2,False
1927,,Maximum Ascending Subarray Sum,https://leetcode.com/problems/maximum-ascending-subarray-sum,11431,17401,1,False
1925,,Count Nice Pairs in an Array,https://leetcode.com/problems/count-nice-pairs-in-an-array,3561,10288,2,False
1924,,Maximum Number of Groups Getting Fresh Donuts,https://leetcode.com/problems/maximum-number-of-groups-getting-fresh-donuts,1077,3619,3,False
1923,,Sentence Similarity III,https://leetcode.com/problems/sentence-similarity-iii,3687,10298,2,False
1920,,Determine Color of a Chessboard Square,https://leetcode.com/problems/determine-color-of-a-chessboard-square,5608,7203,1,False
1919,,Sort Features by Popularity,https://leetcode.com/problems/sort-features-by-popularity,1081,1668,2,True
1918,,Maximum Score of a Good Subarray,https://leetcode.com/problems/maximum-score-of-a-good-subarray,5742,12428,3,False
1917,,Maximum Average Pass Ratio,https://leetcode.com/problems/maximum-average-pass-ratio,8828,15689,2,False
1916,,Find Center of Star Graph,https://leetcode.com/problems/find-center-of-star-graph,14085,16595,2,False
1915,,Check if One String Swap Can Make Strings Equal,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,16880,27587,1,False
1913,,Make the XOR of All Segments Equal to Zero,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,2092,5728,3,False
1912,,Number of Restricted Paths From First to Last Node,https://leetcode.com/problems/number-of-restricted-paths-from-first-to-last-node,5779,16123,2,False
1911,,Minimum Elements to Add to Form a Given Sum,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,9248,23573,2,False
1910,,Check if Binary String Has at Most One Segment of Ones,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,12629,30372,1,False
